Activo;Categoria de Activo;Descripcion
ts;columna;Timestamp de fin de reproduccion (ISO 8601, UTC)
minutes_played;columna;Minutos de reproduccion efectiva de cancion
track_name;columna;Nombre de la cancion
main_artist;columna;Nombre del artista principal
album_name;columna;Nombre del album al que pertenece la cancion
track_code;columna;Identificador unico de la cancion
reason_start;columna;Motivo de inicio de la cancion ('appload', 'trackdone', 'clickrow', 'playbtn', 'backbtn', 'remote', 'fwdbtn')
reason_end;columna;Motivo de fin de la cancion ('logout', 'fwdbtn', 'trackdone', 'endplay', 'backbtn', 'remote')
shuffle;columna;Si el modo aleatorio estaba activado
skipped;columna;Si se salto la cancion (false = no se salto). Cuando se salta, significa que el usuario no queria escuchar esta cancion o estaba buscando otra
platform;columna;Plataforma (Android, iOS, Windows, web_player)
hour;columna;Hora del dia en que se reprodujo la cancion
day_of_month;columna;Dia del mes en que se reprodujo la cancion
day_of_week;columna;Nombre del dia de la semana en que se reprodujo la cancion
month;columna;Nombre del mes del ano en que se reprodujo la cancion
appload;valor de columna;Reproduccion comienza automaticamente al abrirse la app. Spotify retoma la ultima cancion activa de la vez anterior. Es un evento neutro
trackdone;valor de columna;Una cancion se reproduce hasta el final de su duracion y pasa automaticamente a la siguiente cancion
clickrow;valor de columna;Seleccion manual, especifica, de una cancion desde una lista. Hay intencionalidad del usuario por escuchar esta cancion.
playbtn;valor de columna;Click manual del boton de reproduccion por parte del usuario
backbtn;valor de columna;Click del boton de retroceder para volver a una cancion anterior o reiniciar la actual. Hay intencionalidad del usuario por escuchar la cancion que tenga este valor en reason_start
remote;valor de columna;Reproduccion controlada desde otro dispositivo diferente al de escucha
fwdbtn;valor de columna;Click del boton de avanzar para saltar a la siguiente cancion. Muestra que el usuario no quiere escuchar o seguir escuchando la cancion que muestre este valor en reason_end
logout;valor de columna;La cancion se interrumpio porque el usuario cerro la aplicaci�n o porque la sesion expiro. En esta accion, la cancipn no llega a terminar.
endplay;valor de columna;Una cancion se reproduce hasta el final de su duracion y la sesion de reproduccion termina ahi, no se salta a otra cancion. Se da cuando es la ultima cancion en la cola de reproduccion
Rankings;tipo de metrica;Lista ordenada de elementos posicionados de mayor a menor segun criterios especificos de evaluacion
Favoritos;tipo de metrica;Elemento apreciado con preferencia al resto: el que mas veces se da
Evolucion temporal;tipo de metrica;Relacionado con el progreso de las metricas a lo largo de periodos de tiempo
Patrones de uso;tipo de metrica;Secuencia predecible de acciones, comportamientos o consumos del usuario
Comportamiento de escucha;tipo de metrica;Reacciones y acciones que el usuario muestra durante su tiempo de escucha
Comparacion entre periodos;tipo de metrica;La toma de distintos períodos y determinación de distinciones y similitudes observadas entre estos dos. Para una comparación justa entre períodos de distinta duración, es recomendable calcular la media de cada uno.
Escuchas;metrica;El numero de veces que el usuario ha escuchado una cancion de principio a fin (reason_end=trackdone o endplay)
Tiempo de escucha;metrica;La suma total de minutos que ha pasado el usuario reproduciendo alguna cancion: SUM(minutes_played)
